"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country","id"
"28738","1243459220","9788894134872","2019","Lavant, Christine","ita","[Lavant] ; La marmocchietta del Diavolo / Christine Lavant ; traduzione di Anna Ruchat","Christine Lavant: Das Wechselbälgchen &lt;Erzählung>","Pavia : La Grande Illusion","XA-IT","dnb1243459220"
"28739","1187173770","9788833530697","2019","Hartlieb, Petra","ita","[Meine wundervolle Buchhandlung] ; La mia meravigliosa libreria / Petra Hartlieb ; traduzione de Juliana De Angelis","Meine wundervolle Buchhandlung","Torino : Lindau","XA-IT","dnb1187173770"
"28746","1247739252","9788429778267","2019","Handke, Peter","cat","[Handke] ; La por del porter davant del penal / Peter Handke, premi Nobel de Literatura 2019 ; traducció de Joan Fontcuberta, revisada el 2019","Peter Handke: Die Angst des Tormanns beim Elfmeter","Barcelona : Edicions 62","XA-ES","dnb1247739252"
"28752","1194316328","9788850252657","2019","Kreslehner, Gabi","ita","[Das Regenmädchen] ; La ragazza della pioggia : romanzo / Gabi Kreslehner ; traduzione di Francesa Sassi","Das Regenmädchen","Milano : TEA","XA-IT","dnb1194316328"
"28766","1187672548","9788842825333","2019","Franzobel","ita","La zattera della Medusa / Franzobel ; traduzione di Silvia Verdiani","Das Floß der Medusa","Milano : il Saggiatore","XA-IT","dnb1187672548"
"28774","120113448X","9789100183547","2019","Handke, Peter","swe","[Handke] ; Långsam hemkomst / Peter Handke ; översättning av Margaretha Holmquist","Peter Handke: Langsame Heimkehr","[Stockholm] : Albert Bonniers Förlag","XA-SE","dnb120113448X"
"28798","1200875257","9782072787720","2019","Geiger, Arno","fre","[Geiger] ; Le grand royaume des ombres : roman / Arno Geiger ; traduit de l'allemand (Autriche) par Olivier Le Lay","Arno Geiger: Unter der Drachenwand","Paris : Gallimard","XA-FR","dnb1200875257"
"28806","1209628864","9782847051926","2019","Schrefel, Magdalena","fre","[Die Bergung der Landschaft] ; Le repli du paysage : théâtre / Magdalena Schrefel ; traduit de l'allemand (Autriche) par Katharina Stalder","Die Bergung der Landschaft","Les Matelles (Hérault) : Espaces 34","XA-FR","dnb1209628864"
"28818","1203902344","9782366244335","2019","Stifter, Adalbert","fre","[Stifter] ; Les cartons de mon arrière grand-père / Adalbert Stifter ; traduit de l'allemand (Autriche) par Élisabeth de Franceschi","Adalbert Stifter: Die Mappe meines Urgroßvaters","Paris : Cambourakis","XA-FR","dnb1203902344"
"28836","1204237263","9782070255313","2019","Bernhard, Thomas","fre","[Bernhard] ; L' imitateur : prose / Thomas Bernhard ; traduit de l'allemand (Autriche) par Jean-Claude Hémery","Thomas Bernhard: Der Stimmenimitator","[Paris] : Gallimard","XA-FR","dnb1204237263"
"28848","1193272386","9788893446549","2019","Setz, Clemens J.","ita","[Die Stunde zwischen Frau und Gitarre] ; L' ora tra la donna e la chitarra / Clemens J. Setz ; traduzione di Francesca Gabelli","Die Stunde zwischen Frau und Gitarre","Milano : La nave die Teseo","XA-IT","dnb1193272386"
"28859","1191833933","9786197362442","2019","Handke, Peter","bul","[Lucie im Wald mit den Dingsda] ; Luci v gorata s onezi nešta : edna istorija / Peter Chandke ; prevod ot nemski Vladko Murdarov","Lucie im Wald mit den Dingsda","Sofija : Black Flamingo Publishing","XA-BG","dnb1191833933"
"28883","1190742608","9780241366240","2019","Bachmann, Ingeborg","eng","[Bachmann] ; Malina / Ingeborg Bachmann ; translated by Philip Boehm","Ingeborg Bachmann: Malina","[London] : Penguin books","XA-GB","dnb1190742608"
"28884","1190743272","9780811228725","2019","Bachmann, Ingeborg","eng","[Bachmann] ; Malina / Ingeborg Bachmann ; translated from the German by Philip Boehm","Ingeborg Bachmann: Malina","New York : New Directions Publishing Corporation","XD-US","dnb1190743272"
"28885","1203333978","9789172475632","2019","Bachmann, Ingeborg","swe","[Bachmann] ; Malina : Roman / Ingeborg Bachmann ; översättning och kommentarer Linda Östergaard ; efterord Jenny Tunedal","Ingeborg Bachmann: Malina","Lund : Ellerströms","XA-SE","dnb1203333978"
"28887","1211189791","9788205536777","2019","Handke, Peter","nor","[Handke] ; Målmannens angst ved straffesparkmerket : fortelling / Peter Handke ; oversatt av Unn Bendeke Kielland","Peter Handke: Die Angst des Tormanns beim Elfmeter","[Oslo] : Gyldendal","XA-NO","dnb1211189791"
"28891","1234071789","9786007439241","2019","Roth, Joseph","per","[Roth] ; Marsh-i Radtīskī = Radetzkymarsch / Yūzif Rūt ; tarǧuma-i Muḥammad Hematī","Joseph Roth: Radetzkymarsch","Tihrān : Farhang-i Našr-i Nau","XB-IR","dnb1234071789"
"28899","1219832588","9788381960083","2019","Herzmanovsky-Orlando, Fritz von","pol","[Herzmanovsky-Orlando] ; Maskarada geniuszy / Fritz von Herzmanovsky-Orlando ; przekład i komentarz Ryszard Wojnakowski ; posłowie Piotr Paziński","Fritz Herzmanovsky-Orlando von: Maskenspiel der Genien","Warszawa : Państwowy Instytut Wydawniczy","XA-PL","dnb1219832588"
"28900","1191842150","9786197362435","2019","Plattner, Martin","bul","[Maultasch] ; Maultaš / Martin Plattner","Maultasch","Sofija : Black Flamingo Publishing","XA-BG","dnb1191842150"
"28931","1211189570","9788205536784","2019","Handke, Peter","nor","[Handke] ; Mitt år i Ingenmannsbukten : et eventyr fra de nye tider / Peter Handtke ; oversatt av Unn Bendeke","Peter Handke: Mein Jahr in der Niemandsbucht","[Oslo] : Gyldendal","XA-NO","dnb1211189570"
"28932","1201134757","9789100183523","2019","Handke, Peter","swe","[Handke] ; Mitt år i Ingenmansbukten : en saga från de nya tiderna / Peter Handke ; översättning av Karin Nyman","Peter Handke: Mein Jahr in der Niemandsbucht","[Stockholm] : Albert Bonniers Förlag","XA-SE","dnb1201134757"
"28934","1202948693","9788075930842","2019","Kröhn, Julia","cze","[Das Modehaus] ; Módní salon / Julia Kröhnová ; z německého originálu přeložil Tomáš Kurka","Das Modehaus","Praha : Beta","XA-CZ","dnb1202948693"
"28937","1234424177","9789617025101","2019","Perutz, Leo","slv","[Perutz] ; Mojster poslednje sodbe / Leo Perutz ; prevedla Maruša Mugerli Lavrenčič","Leo Perutz: Der Meister des jüngsten Tages","Rožna Dolina, Nova Gorica : Založba Univerze v Novi Gorici","XA-SI","dnb1234424177"
"28957","1204029296","9789984237664","2019","Werfel, Franz","lav","[Werfel] ; Musa Daga četrdesmit dienas / Francis Verfels ; no vācu valodas tulkojusi Ilze Paegle-Mkrtčjana","Franz Werfel: Die vierzig Tage des Musa Dagh","Rīgā : Jāņa Rozes apgāds","XA-LV","dnb1204029296"
"28961","1193202027","9789543574056","2019","Bernard, Caroline","bul","[Die Muse von Wien] ; Muzata na Viena / Karoline Bernard ; prevela ot nemski: Velička Stefanova","Die Muse von Wien","[Sofija] : IK ""EMAS""","XA-BG","dnb1193202027"
"28967","1181224810","9789044540635","2019","Trojanow, Ilija","dut","[Trojanow] ; Na de vlucht / Ilija Trojanow ; uit het Duits vertaald door José Rijnaarts","Ilija Trojanow: Nach der Flucht","Amsterdam : De Geus","XA-NL","dnb1181224810"
"28983","118599257X","9788937429507","2019","Kehlmann, Daniel","kor","[Kehlmann] ; Neo neun gass eo ya haess da = Du hättest gehen sollen / Da ni el Kel man ; Im Jeong hui olm gim","Daniel Kehlmann: Du hättest gehen sollen","Seo ul si : Min eum sa","XB-KR","dnb118599257X"
"29003","1212463730","9788024938493","2019","Simmel, Johannes Mario","cze","[Niemand ist eine Insel] ; Nikdo neni ostrov / Johannes Mario Simmel","Niemand ist eine Insel","Praha : Ikar","XA-CZ","dnb1212463730"
"29021","1188574736","9789898909046","2019","Kafka, Franz","por","[Kafka] ; O desejo de ser um índio / Franz Kafka, Guridi ; traduzido por Carla Maia de Almeida","Franz Kafka: Wunsch, Indianer zu werden","[Castro Verde] :  Simon's Books","XA-PT","dnb1188574736"
"29030","1203653174","9788535908510","2019","Bernhard, Thomas","por","[Bernhard] ; O náufrago / Thomas Bernhard ; tradução Sergio Tellaroli","Thomas Bernhard: Der Untergeher","São Paulo : Companhia das Letras","XD-BR","dnb1203653174"
"29033","1185532137","9789734677771","2019","Seethaler, Robert","rum","[Seethaler] ; O viaţă de om : roman / Robert Seethaler ; traducere din lima germană de Andrei Anastasescu","Robert Seethaler: Ein ganzes Leben","Iaşi ; Bucureşti : Polirom","XA-RO","dnb1185532137"
"29071","1208447513","9789176455371","2019","Rilke, Rainer Maria","swe","[Rilke] ; Orfeus-sonetterna / Rainer Maria Rilke ; tolkning: Mirjam Tuominen","Rainer Maria Rilke: Sonette an Orpheus","Stockholm : Modernista","XA-SE","dnb1208447513"
"29089","119673478X","9782070287840","2019","Handke, Peter","fre","[Handke] ; Par les villages : poème dramatique / Peter Handke ; traduit de l'allemand par Georges-Arthur Goldschmidt","Peter Handke: Über die Dörfer","[Paris] : Gallimard","XA-FR","dnb119673478X"
"29099","1203099827","9789172475649","2019","Mayröcker, Friederike","swe","[Pathos und Schwalbe] ; Patos och svala / Friederike Mayröcker ; översättning Ulla Ekblad-Forsgren","Pathos und Schwalbe","[Lund] : Ellerströms förlag AB","XA-SE","dnb1203099827"
"29111","1247764222","9788418022135","2019","Kafka, Franz","cat","Petites faules / Franz Kafka ; traducció i pròleg d'Anna Punsoda ; epíleg de Melcior Comes ; amb dibuixos de Franz Kafka","","[Barcelona] : Comanegra","XA-ES","dnb1247764222"
"29112","1203230834","9788055166070","2019","Jelinek, Elfriede","slo","[Jelinek] ; Pianistka / Elfride Jelinek : preložila Svetlana Žuchová","Elfriede Jelinek: Die Klavierspielerin","Bratislava : Odeon","XA-SK","dnb1203230834"
"29113","1192539664","9789177819219","2019","Jelinek, Elfriede","swe","[Jelinek] ; Pianolärarinnan / Elfriede Jelinek ; översättning av Margaretha Holmqvist","Elfriede Jelinek: Die Klavierspielerin","Stockholm : Modernista","XA-SE","dnb1192539664"
"29116","1181119863","9788771834321","2019","Köhlmeier, Michael","dan","[Köhlmeier] ; Pigen med fingerbøllet / Michael  Köhlmeier ; oversat af: Ulla Søgaard","Michael Köhlmeier: Das Mädchen mit dem Fingerhut","[Horsens] : BF","XA-DK","dnb1181119863"
"29123","1205738231","9788378662334","2019","Roth, Joseph","pol","Podróż do Rosji / Joseph Roth ; przełożyła Małgorzata Łukasiewicz ; wstęp Jan T. Gross","","Kraków ; Budapeszt ; Syrakuzy : Wydawnictwo Austeria","XA-PL","dnb1205738231"
"29126","1204233810","9789723721140","2019","Handke, Peter","por","[Handke] ; Poema à duração / Peter Handke ; tradução e introdução José A. Palma Caetano","Peter Handke: Gedicht an die Dauer","Porto : Assírio & Alvim","XA-PT","dnb1204233810"
"29136","1200640128","9789549621754","2019","Seethaler, Robert","bul","[Seethaler] ; Poleto / Robert Zeetaler ; prevod ot nemski Ljubomir Iliev","Robert Seethaler: Das Feld","Sofija : Atlantis KL","XA-BG","dnb1200640128"
"29139","1203892713","9789533320953","2019","Seethaler, Robert","hrv","[Seethaler] ; Polje / Robert Seethaler ; s njemačkoga prevela Željka Gorička","Robert Seethaler: Das Feld","Zagreb : OceanMore","XA-HR","dnb1203892713"
"29140","1194979165","9788652132218","2019","Elsberg, Marc","srp","[Elsberg] ; Pomračenje / Mark Elzberg ; preveo s nemačkog Nebojša Barać","Marc Elsberg: Blackout","Beograd : Laguna","XA-RS","dnb1194979165"
"29149","120323581X","9788679582133","2019","Jelinek, Elfriede","srp","[Jelinek] ; Požuda : roman / Elfride Jelinek ; prevela s nemačkog Sanja Karanovič","Elfriede Jelinek: Lust","Beograd : LOM","XA-RS","dnb120323581X"
"29161","1182340873","9788417624989","2019","Hartlieb, Petra","spa","[Wenn es Frühling wird in Wien] ; Primavera en Viena / Petra Hartlieb ; traducción del alemán de María Esperanza Romero","Wenn es Frühling wird in Wien","Madrid : Siruela","XA-ES","dnb1182340873"
"29164","1202941052","9788087048627","2019","Bachmann, Ingeborg","cze","[Bachmann] ; Případ Franza / Ingeborg Bachmannová ; přeložila Michaela Jacobsenová","Ingeborg Bachmann: Der Fall Franza","Martínkovice : Opus","XA-CZ","dnb1202941052"
"29169","1190235390","9786190204312","2019","Seethaler, Robert","bul","[Seethaler] ; Prodavačat na vestnici i cigari / Robert Zeetaler ; prevela ot nemski Žanina Dragostinova","Robert Seethaler: Der Trafikant","Sofija : IK ""Kolibri""","XA-BG","dnb1190235390"
"29177","1203649991","9788307034607","2019","Bernhard, Thomas","pol","[Bernhard] ; Przegrany / Thomas Bernhard ; przełożył i posłowiem opatrzył Marek Kędzierski","Thomas Bernhard: Der Untergeher","Warszawa : Czytelnik","XA-PL","dnb1203649991"
"29189","1197729712","9788494970207","2019","Celan, Paul","spa","[Celan] ; Reixes de llengua = Sprachgitter / Paul Celan ; traducció i notes d'Arnau Pons","Paul Celan: Sprachgitter &lt;Zusammenstellung>","[Barcelona] : LaBreu edicions","XA-ES","dnb1197729712"
"29190","1179957415","9788799995554","2019","Mayröcker, Friederike","dan","[Mayröcker] ; Rejse gennem natten / Friederike Mayröcker ; oversat af Eva Botofte","Friederike Mayröcker: Reise durch die Nacht","[Fredensborg] : Forlaget Palomar","XA-DK","dnb1179957415"
"29197","1200968476","9789525850949","2019","Handke, Peter","fin","[Handke] ; Riisuttu epäonni / Peter Handke ; suomentanut Arja Rinnekangas","Peter Handke: Wunschloses Unglück","[Helsinki] : LURRA editions","XA-FI","dnb1200968476"
"29198","1187842869","9788075930521","2019","Flašar, Milena Michiko","cze","[Flašar] ; Říkal jsem mu Kravata / Milena Michiko Flašar ; translation Petr Janoušek","Milena Michiko Flašar: Ich nannte ihn Krawatte","[Praha] : Beta Nakladatelstvi","XA-CZ","dnb1187842869"
"29207","1208649280","9791091896900","2019","Rilke, Rainer Maria","fre","[Rilke] ; Rumeur des âges / Rainer Maria Rilke ; traduction de Maurice Betz","Rainer Maria Rilke: Ur-Geräusch","Paris : Éditions Sillage","XA-FR","dnb1208649280"
"29217","1202740456","9786197362596","2019","Vögel, Stefan","bul","[Genau wie früher] ; Săšto kakto predi : 3 komedii / Štefan Fʹogel ; prevod ot nemski Vladko Murdarov","Genau wie früher &lt;Zusammenstellung>","Sofija : Black Flamingo Publishing","XA-BG","dnb1202740456"
"29232","1201212561","9788252198942","2019","Trakl, Georg","nor","[Trakl] ; Sebastian i draum / Georg Trakl ; gjendikta av Jon Fosse","Georg Trakl: Sebastian  im Traum","Oslo : Samlaget","XA-NO","dnb1201212561"
"29233","1190832127","9782228922289","2019","Zweig, Stefan","fre","Secrets et passions / Stefan Zweig ; traduit de l'allemand par Nicole Casanova, Corinna Gepner, Olivier Mannoni, Aline Oudoul, Leila Pellissier et Aline Weill","","Paris : Éditions Payot & Rivages","XA-FR","dnb1190832127"
"29255","1203660111","9788494707278","2019","Handke, Peter","spa","[Handke] ; Siempre tormenta / Peter Handke ; traducción de Antonio Bueno Tubía","Peter Handke: Immer noch Sturm","Madrid : Ediciones Casus-Belli","XA-ES","dnb1203660111"
"29258","118580434X","9788279592860","2019","Zweig, Stefan","nor","Sjakknovelle og andre tekstar / Stefan Zweig ; frå tysk ved Øystein Vidnes","","[Leikanger] : Skald","XA-NO","dnb118580434X"
"29259","1228079188","9786180213140","2019","Zweig, Stefan","gre","[Zweig] ; Skakistike nubela / Stephan Tsbaïch ; metaphrasē apo ta germaniká: Antzē Saltampasē","Stefan Zweig: Schachnovelle","Athēna : Minōas ekdoseis","XA-GR","dnb1228079188"
"29261","1207325864","9785227087072","2019","Gruber, Andreas","rus","[Todesmärchen] ; Skazka o smerti : roman = Todesmärchen / Andreas Gruber : per. s nem. I.A. Ėrler","Todesmärchen","Moskva : Centrpoligraf","XA-RU","dnb1207325864"
"29264","1232751618","9788027064618","2019","Grillparzer, Franz","cze","[Grillparzer] ; Sláva a pád krále Otakara / Franz Grillparzer ; přeložil Radek Malý","Franz Grillparzer: König Ottokars Glück und Ende","Praha : Městská divadla pražská, p.o.","XA-CZ","dnb1232751618"
"29267","1193747260","9789177817666","2019","Kafka, Franz","swe","[Kafka] ; Slottet / Franz Kafka ; översättning av Hans Levander","Franz Kafka: Das Schloss","Stockholm : Modernista","XA-SE","dnb1193747260"
"29269","1202992021","9786197362510","2019","Wurmitzer, Mario","bul","[Službata po nadzora ne znae milost] ; Službata po nadzora ne znae milost : piesi / Mario Vurmicer ; prevod ot nemski Vladko Murdarov","Službata po nadzora ne znae milost &lt;Zusammenstellung>","Sofija : Black Flamingo Publishing","XA-BG","dnb1202992021"
"29277","1220538582","9789533553085","2019","Perutz, Leo","hrv","[Perutz] ; Snijeg svetoga Petra / Leo Perutz ; s njemačkoga preveo Andy Jelčić","Leo Perutz: St. Petri-Schnee","Zagreb : Ljevak","XA-HR","dnb1220538582"
"29279","1182955916","9789631438284","2019","Koestler, Arthur","hun","[Koestler] ; Sötétség délben : regény : az eredeti német kézirat alapján / Arthur Koestler ; fordította Mesés Péter","Arthur Koestler: Sonnenfinsternis","Budapest : Magvető","XA-HU","dnb1182955916"
"29287","119176883X","9788845297632","2019","Geiger, Arno","ita","[Geiger] ; Sotto la parete del Drago / Arno Geiger ; tradizione di Giovanna Agabio","Arno Geiger: Unter der Drachenwand","Firenze, Italia ; Milano, Italia : Romanzo Bompiani; Milano : Bompiani","XA-IT","dnb119176883X"
"29297","1242597018","9788679582393","2019","Bernhard, Thomas","srp","[Bernhard] ; Stari majstori : komedija : roman / Tomas Bernhard ; prevela s nemačkog Sanja Karanović","Thomas Bernhard: Alte Meister","Beograd : Lom","XA-RS","dnb1242597018"
"29307","1202951228","9788076178229","2019","Poznanski, Ursula","cze","[Poznanski] ; Stín / Ursula Poznanski ; z německého originálu přeložila Lenka Vosičková","Ursula Poznanski: Schatten","Praha : Euromedia Group","XA-CZ","dnb1202951228"
"29312","1203652089","9788373926608","2019","Menasse, Robert","pol","[Menasse] ; Stolica / Robert Menasse ; przełożył Jacek St. Buras","Robert Menasse: Die Hauptstadt","Warszawa : Noir sur Blanc","XA-PL","dnb1203652089"
"29313","1184314772","9785751615109","2019","Menasse, Robert","rus","[Menasse] ; Stolica : roman = Die Hauptstadt / Robert Menasse ; perevod s nemeckogo N. Fedorovoj","Robert Menasse: Die Hauptstadt","Moskau : Text","XA-RU","dnb1184314772"
"29324","1179833147","9782851819574","2019","Jelinek, Elfriede","fre","[Jelinek] ; Sur la voie royale / Elfriede Jelinek ; traduit de l'allemand par Magali Jourdan et Mathilde Sobottke","Elfriede Jelinek: Am Königsweg","Paris : L'Arche","XA-FR","dnb1179833147"
"29365","1179966287","9780857058621","2019","Menasse, Robert","eng","[Menasse] ; The capital / Robert Menasse ; translated from the German by Jamie Bulloch","Robert Menasse: Die Hauptstadt","London : MacLehose Press, Quercus","XA-GB","dnb1179966287"
"29366","1186079851","9781631495717","2019","Menasse, Robert","eng","[Menasse] ; The capital / Robert Menasse ; translated from the German by Jamie Bulloch","Robert Menasse: Die Hauptstadt","New York : Liveright Publishing Corporation, a Division of W.W. Norton & Company","XD-US","dnb1186079851"
"29367","1214666507","9781631497865","2019","Menasse, Robert","eng","[Menasse] ; The capital / Robert Menasse","Robert Menasse: Die Hauptstadt","New York : Liveright Publishing Corporation","XD-US","dnb1214666507"
"29386","1196575851","9780571349975","2019","Bernhard, Thomas","eng","[Bernhard] ; The loser / Thomas Bernhard ; translated from the German by Jack Dawson","Thomas Bernhard: Der Untergeher","London : Faber & Faber","XA-GB","dnb1196575851"
"29413","1179948890","9786190203537","2019","Kehlmann, Daniel","bul","[Kehlmann] ; Til / Daniel Kelman ; prevela ot nemski Žanina Dragostinova","Daniel Kehlmann: Tyll","Sofija : IK ""Kolibri""","XA-BG","dnb1179948890"
"29414","1243104260","9788771516791","2019","Menasse, Eva","dan","[Menasse] ; Tilgivelige dodssynder / Eva Menasse ; på dansk ved Paul Klitnæs","Eva Menasse: Lässliche Todsünden","[København] : Jensen & Dalgaard","XA-DK","dnb1243104260"
"29415","1183114397","9789934546778","2019","Kehlmann, Daniel","lav","[Kehlmann] ; Tils / Daniels Kēlmans ; no vācu valodas tulkojis Zigurds Skābardis","Daniel Kehlmann: Tyll","[Riga] : Dienas Grāmata","XA-LV","dnb1183114397"
"29434","1221407325","9786084852094","2019","Kehlmann, Daniel","mac","[Kehlmann] ; Trebaše da si odiš / Daniel Kelman ; prevod od germanski jazik: Katerina Šekutkovska i Ana Kneževik","Daniel Kehlmann: Du hättest gehen sollen","Skopje : Artkonekt","XA-MK","dnb1221407325"
"29446","1177306328","9788831789028","2019","Meyerhoff, Joachim","ita","[Alle Toten fliegen hoch] ; Tutti i morti volano in alto / Joachim Meyerhoff ; traduzione dal tedesco di Giovanna Agabio","Alle Toten fliegen hoch &lt;1>","Venezia : Marsilio","XA-IT","dnb1177306328"
"29448","1184815313","9788025727713","2019","Kehlmann, Daniel","cze","[Kehlmann] ; Tyll / Daniel Kehlmann ; z němčiny přeložil Michael Půček","Daniel Kehlmann: Tyll","Praha : Argo","XA-CZ","dnb1184815313"
"29449","1179821270","9788439734956","2019","Kehlmann, Daniel","spa","[Kehlmann] ; Tyll / Daniel Kehlmann ; traducción del alemán de Isabel García Adánez","Daniel Kehlmann: Tyll","Barcelona : Literatura Random House","XA-ES","dnb1179821270"
"29450","1199304247","9789100178659","2019","Kehlmann, Daniel","swe","[Kehlmann] ; Tyll / Daniel Kehlmann ; översättning av Jesper Festin","Daniel Kehlmann: Tyll","[Stockholm] : Albert Bonniers Förlag","XA-SE","dnb1199304247"
"29462","1200644808","9789720032300","2019","Seethaler, Robert","por","[Seethaler] ; Uma vida inteira / Rober Seethaler ; tradução de Tânia Ganho","Robert Seethaler: Ein ganzes Leben","Porto : Porto Editora","XA-PT","dnb1200644808"
"29469","1185594590","9783899196764","2019","Kafka, Franz","ita","[Kafka] ; Un medico di campagna : racconti brevi / Franz Kafka ; traduzione dal tedesco di Giuseppina Gatta","Franz Kafka: Ein Landarzt &lt;Zusammenstellung>","[Haselbach] : Vitalis","XA-DE-BY","dnb1185594590"
"29470","1185592830","9783899196771","2019","Kafka, Franz","spa","[Kafka] ; Un médico rural : pequeños relatos / Franz Kafka ; traducción castellana de Pablo Grosschmid","Franz Kafka: Ein Landarzt &lt;Zusammenstellung>","[Haselbach] : Vitalis","XA-DE-BY","dnb1185592830"
"29477","1251819850","9788417800086","2019","Schutti, Carolina","spa","[Einmal muss ich über weiches Gras gelaufen sein] ; Una vez caminé sobre la suave hierva / Carolina Schutti ; traducción de Núria Molines Galarza","Einmal muss ich über weiches Gras gelaufen sein","Madrid : Errata naturae","XA-ES","dnb1251819850"
"29488","1202880932","9786197362602","2019","Mitterer, Felix","bul","[In der Löwengrube] ; V legovišteto na lăva / Feliks Miterer ; Borislav P. Petranov, Vladko Murdarov, prevod","In der Löwengrube &lt;Zusammenstellung>","Sofija : Black Flamingo Publishing","XA-BG","dnb1202880932"
"29496","119342903X","9788652133819","2019","Handke, Peter","srp","[Der große Fall] ; Veliki pad / Peter Handke ; preveo s nemačkog Žarko Radaković","Der große Fall","Beograd : Laguna","XA-RS","dnb119342903X"
"29501","1203963610","9789941952548","2019","Broch, Hermann","geo","[Broch] ; Vergiliusis sikvdili : romani = Der Tod des Vergil / Herman Broxi ; Germanulidan t̕argmani: Rusudan Ġvinep̕aje","Hermann Broch: Der Tod des Vergil","T̕bilisi : Aleph","XB-GE","dnb1203963610"
"29509","1201617383","9789528019527","2019","Salten, Felix","fin","[Fünfzehn Hasen] ; Viisitoista jänöä : kohtaloita metsässä ja vainioilla / Felix Salten ; kuvittanut Hans Bertle ; suomennos ja sivunvalmistus Markus Lång","Fünfzehn Hasen","Helsinki : Books on Demand GmbH","XA-FI","dnb1201617383"
"29513","1233628801","9786067794854","2019","Kafka, Franz","rum","Vizuina : proză postumă / Franz Kafka ; traducere din germană şi note de Mircea Ivănescu ; ediţie îngrijită de Roxana Albu","","Bucureşti : Humanitas Fiction","XA-RO","dnb1233628801"
"29515","1194949533","9789463386500","2019","Schnitzler, Arthur","dut","[Schnitzler] ; Vlucht in de duisternis : novelle / Arthur Schnitzler ; Jef Rademakers, vertaling en nawoord","Arthur Schnitzler: Flucht in die Finsternis","Soesterberg : Uitgeverij Aspekt","XA-NL","dnb1194949533"
"29518","1181259304","9788076170759","2019","Gruber, Andreas","cze","[Todesfrist] ; Vražedná lhůta / Andreas Gruber ; přeložil Rudolf Řežábek","Todesfrist","Praha : Euromedia","XA-CZ","dnb1181259304"
"29530","1186147636","9789078627722","2019","Bernhard, Thomas","dut","[Bernhard] ; Wandeling / Thomas Bernhard ; uit het Duits vertaald door Ria van Hengel","Thomas Bernhard: Gehen","[Bleiswijk] : Uitgeverij Vleugels","XA-NL","dnb1186147636"
"29567","1194020178","9789048853700","2019","Wondratschek, Wolf","dut","[Selbstbild mit russischem Klavier] ; Zelfportret met Russische piano / Wolf Wondratschek ; uit het Duits vertaald door Izaak Hilhorst","Selbstbild mit russischem Klavier","Amsterdam : Lebowski Publishers","XA-NL","dnb1194020178"
"29574","1182048277","9789533400761","2019","Menasse, Eva","hrv","[Menasse] ; Životinje za napredne : zbirka pripovijedaka / Eva Menasse ; prijevod s njemačkoga Andy Jelčić","Eva Menasse: Tiere für Fortgeschrittene","Zagreb : Leykam international","XA-HR","dnb1182048277"
"29592","1182060692","9789187393525","2018","Haushofer, Marlen","swe","18 noveller / Marlen Haushofer ; översatta från tyska av Anders Björnsson","","Lund : Celanders förlag","XA-SE","dnb1182060692"
"29594","1178466345","9788075114228","2018","Brendel, Alfred","cze","[Playing the human game] ; 2 x 2 = 13 : sebrané básně / Alfred Brendel ; z německého originálu s přihlédnutím k anglickým překladům přeložil a ediční poznámkou opatřil Vít Janota","Playing the human game","Praha : Volvox Globator","XA-CZ","dnb1178466345"
"29605","1183844115","9789634058953","2018","Haushofer, Marlen","hun","[Haushofer] ; A fal / Marlen Haushofer ; fordította Nemenkürty Harriet","Marlen Haushofer: Die Wand","Budapest : Európa Könyvkiadó","XA-HU","dnb1183844115"
"29608","1160726426","9786155724428","2018","Menasse, Robert","hun","[Menasse] ; A főváros / Robert Menasse ; fordította: Győri Lászlo","Robert Menasse: Die Hauptstadt","Budapest : Geopen Könyvkiado","XA-HU","dnb1160726426"
"29611","1165256533","9789631436532","2018","Kafka, Franz","hun","[Kafka] ; A kastély / Franz Kafka ; fordította Rónay György","Franz Kafka: Das Schloss","Budapest : Magvető","XA-HU","dnb1165256533"
"29616","1172388113","9789892085111","2018","Jelinek, Elfriede","por","[Jelinek] ; A morte e a donzela I-V : dramas de princesas / Elfriede Jelinek ; tradução e nota introdutória: Anabela Mendes","Elfriede Jelinek: Der Tod und das Mädchen I-V","Lisboa : Artes & Engenhos","XA-PT","dnb1172388113"
"29630","1187170291","9789633554593","2018","Seethaler, Robert","hun","[Seethaler] ; A trafikos / Robert Seethaler ; fordította Blaschtik Éva","Robert Seethaler: Der Trafikant","Budapest : Park Könyvkiadó","XA-HU","dnb1187170291"
"29632","1188746251","9789638969460","2018","Meyrink, Gustav","hun","[Meyrink] ; A zöld arc / Gustav Meyrink","Gustav Meyrink: Das grüne Gesicht","Úny : Aquarius Kulturális Alapítvány","XA-HU","dnb1188746251"
"29639","1191502198","9788726007800","2018","Simmel, Johannes Mario","dan","[Affäre Nina B.] ; Affæren Nina B. / Johannes Mario Simmel ; oversat fra tysk af Finn Andersen og Grete Andersen","Affäre Nina B.","[København] : Lindhardt og Ringhof","XA-DK","dnb1191502198"
"29661","1160506981","9788763854702","2018","Zweig, Stefan","dan","[Zweig] ; Amok : kærlighedens forrykte former / Stefan Zweig ; oversat og med efterskrift af Judyta Preis og Jørgen Herman Monrad","Stefan Zweig: Amok","København : Rosinante","XA-DK","dnb1160506981"
